"resource","config","cores","id","metric","value"
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,4,"solver",658.362220562
"Ookami-OSS","v2206",48,2,"solver",759.209049677
"Ookami-OSS","v2206",48,8,"solver",773.243952941
"Ookami-OSS","v2206",48,3,"solver",773.001593823
"Ookami-OSS","v2206",48,5,"solver",759.98573979
"Ookami-OSS","v2206",48,7,"solver",737.677929451
"Ookami-OSS","v2206",48,6,"solver",747.355185759
"Ookami-OSS","v2206",48,9,"solver",752.805600555
"Ookami-OSS","v2206",48,10,"solver",747.416631396
"Ookami-OSS","v2206",48,4,"solver",745.028799102
"Amazon-Graviton3-48","v2206",48,8,"solver",281.756169113
"Amazon-Graviton3-48","v2206",48,1,"solver",NA
"Amazon-Graviton3-48","v2206",48,5,"solver",NA
"Amazon-Graviton3-48","v2206",48,7,"solver",278.924286767
"Amazon-Graviton3-48","v2206",48,6,"solver",280.10941983
"Amazon-Graviton3-48","v2206",48,9,"solver",280.07713613
"Amazon-Graviton3-48","v2206",48,10,"solver",282.177830391
"Amazon-Graviton3-48","v2206",48,4,"solver",NA
"Amazon-Graviton2-48","v2206",48,2,"solver",483.073790263
"Amazon-Graviton2-48","v2206",48,8,"solver",482.053888624
"Amazon-Graviton2-48","v2206",48,3,"solver",480.094591316
"Amazon-Graviton2-48","v2206",48,1,"solver",478.641022846
"Amazon-Graviton2-48","v2206",48,5,"solver",480.663992507
"Amazon-Graviton2-48","v2206",48,7,"solver",475.510912725
"Amazon-Graviton2-48","v2206",48,6,"solver",482.93261096
"Amazon-Graviton2-48","v2206",48,9,"solver",482.933284583
"Amazon-Graviton2-48","v2206",48,10,"solver",476.680607439
"Amazon-Graviton2-48","v2206",48,4,"solver",486.534908983
"Google-Ampere-Altra","v2206",48,2,"solver",461.164076372
"Google-Ampere-Altra","v2206",48,8,"solver",454.044765942
"Google-Ampere-Altra","v2206",48,3,"solver",457.077980126
"Google-Ampere-Altra","v2206",48,1,"solver",458.940271837
"Google-Ampere-Altra","v2206",48,5,"solver",455.941045322
"Google-Ampere-Altra","v2206",48,7,"solver",456.64420777
"Google-Ampere-Altra","v2206",48,6,"solver",457.034599109
"Google-Ampere-Altra","v2206",48,9,"solver",473.774218995
"Google-Ampere-Altra","v2206",48,10,"solver",452.15142123
"Google-Ampere-Altra","v2206",48,4,"solver",454.005997181
"Stampede2-SKX","v2206",48,2,"solver",382.58899935
"Stampede2-SKX","v2206",48,8,"solver",381.566686882
"Stampede2-SKX","v2206",48,3,"solver",382.487862158
"Stampede2-SKX","v2206",48,1,"solver",383.274093445
"Stampede2-SKX","v2206",48,5,"solver",397.205104871
"Stampede2-SKX","v2206",48,7,"solver",380.37650323
"Stampede2-SKX","v2206",48,6,"solver",380.331704732
"Stampede2-SKX","v2206",48,9,"solver",395.5975937
"Stampede2-SKX","v2206",48,10,"solver",381.532261662
"Stampede2-SKX","v2206",48,4,"solver",379.860314606
"Stampede2-ICX","v2206, 48",48,2,"solver",239.107371916
"Stampede2-ICX","v2206, 48",48,8,"solver",238.813991324
"Stampede2-ICX","v2206, 48",48,3,"solver",239.363051269
"Stampede2-ICX","v2206, 48",48,1,"solver",239.125372863
"Stampede2-ICX","v2206, 48",48,5,"solver",238.864985631
"Stampede2-ICX","v2206, 48",48,7,"solver",239.274986882
"Stampede2-ICX","v2206, 48",48,6,"solver",241.075968191
"Stampede2-ICX","v2206, 48",48,9,"solver",237.982523272
"Stampede2-ICX","v2206, 48",48,10,"solver",238.796200055
"Stampede2-ICX","v2206, 48",48,4,"solver",239.896911856
"Stampede2-ICX","v2206, 80",80,2,"solver",207.100043892
"Stampede2-ICX","v2206, 80",80,8,"solver",205.137925566
"Stampede2-ICX","v2206, 80",80,3,"solver",205.113312589
"Stampede2-ICX","v2206, 80",80,1,"solver",208.575766131
"Stampede2-ICX","v2206, 80",80,5,"solver",205.627803343
"Stampede2-ICX","v2206, 80",80,7,"solver",206.324805628
"Stampede2-ICX","v2206, 80",80,6,"solver",207.066369346
"Stampede2-ICX","v2206, 80",80,9,"solver",204.598484011
"Stampede2-ICX","v2206, 80",80,10,"solver",204.893532749
"Stampede2-ICX","v2206, 80",80,4,"solver",208.441099408
"Anvil","v2206, 48",48,2,"solver",203.000759459
"Anvil","v2206, 48",48,8,"solver",205.217622373
"Anvil","v2206, 48",48,3,"solver",205.425925421
"Anvil","v2206, 48",48,1,"solver",203.659952179
"Anvil","v2206, 48",48,5,"solver",203.147759358
"Anvil","v2206, 48",48,7,"solver",204.143995298
"Anvil","v2206, 48",48,6,"solver",203.869378398
"Anvil","v2206, 48",48,9,"solver",203.778920374
"Anvil","v2206, 48",48,10,"solver",203.500155392
"Anvil","v2206, 48",48,4,"solver",203.402839796
"Anvil","v2206, 128",128,2,"solver",153.173378377
"Anvil","v2206, 128",128,8,"solver",145.452539037
"Anvil","v2206, 128",128,3,"solver",144.808429249
"Anvil","v2206, 128",128,1,"solver",144.268930289
"Anvil","v2206, 128",128,5,"solver",146.847129073
"Anvil","v2206, 128",128,7,"solver",144.448708878
"Anvil","v2206, 128",128,6,"solver",146.298572633
"Anvil","v2206, 128",128,9,"solver",148.936372377
"Anvil","v2206, 128",128,4,"solver",145.772054106
"Expanse","v2206, 48",48,2,"solver",178.685811141
"Expanse","v2206, 48",48,8,"solver",184.797062119
"Expanse","v2206, 48",48,3,"solver",183.873961146
"Expanse","v2206, 48",48,1,"solver",179.203845448
"Expanse","v2206, 48",48,5,"solver",180.753619212
"Expanse","v2206, 48",48,7,"solver",180.504611597
